T,Lon,Lat,Y1,Y2,Y3,X1,X2,X3,X4,X5,X6,X7,X8
2012,100.992541,15.870032,1.002962,242.833,397558.22,37.34369414,23.56,39.28086281,1279,0.175448165,135.3657793,3.273389492,45.445
2012,114.727669,4.535277,0.41818136,7.538,19047.94,72.65682516,0.01,72.10626186,27,0.085339255,77.1601518,2.22390941,75.656
2012,64.585262,41.377491,0.44590243,118.724,67517.35,20.42793816,1.34,7.869481413,271,0.042584432,68.32147774,8.043299981,51.05
2012,103.819836,1.352083,1.0583591,45.979,295087.22,25.02220216,0.51,24.40906516,4905,0.234753135,7524.6983,2.725749695,100
2012,45.038189,40.069099,0.49565401,5.083,10619.32,27.82709461,6.56,11.59620653,188,0.013867837,102.3681419,4.132572048,63.24
2012,43.679291,33.223191,0.80202029,107.004,218002.48,60.57698851,1.3,1.89952109,0,0.080584372,77.97118945,1.958803221,69.432
2012,53.688046,32.427908,0.53785892,564.939,644035.51,42.09416321,0.93,6.564490778,10700,0.056620856,47.47442901,3.971867949,71.755
2012,113.921327,-0.789275,1.0304267,597.095,917869.91,43.59374442,30.09,52.09357668,0,0.072160638,133.2730561,2.064890655,51.276
2012,36.238414,30.585164,0.52375447,23.898,31634.56,25.80780386,2.91,1.09822032,120,0.102917221,81.23296914,3.134854412,88.185
2012,1.659626,28.033886,0.54724889,124.226,209058.99,38.65546203,0.18,0.811675498,139,0.036968331,15.64426134,2.428366462,68.915
2012,30.802498,26.820553,0.57991618,234.38,279116.67,39.25130471,5.29,0.059020543,805,0.034196198,91.65741725,3.493934812,42.946
2012,40.489673,9.145,0.59555374,9.261,43310.72,9.476137965,93.24,15.64130888,1,0.042457133,83.69022203,1.214921848,18.16
2012,17.873887,-11.202692,1.0646736,17.79,124998.16,56.91821896,49.47,56.9887511,0,0.300811908,20.20397209,0.728561924,61.268
2012,2.315834,9.30769,0.6927807,4.979,11141.36,16.95668469,50.33,31.35109968,112,0.240114313,88.80877971,1.716086456,44.125
2012,24.684866,-22.328474,0.59344305,3.374,14380,29.71953137,27.55,28.58698146,37,0.021056815,3.838556279,1.342200139,64.768
2012,-1.561593,12.238333,0.57483594,3.602,12561.02,26.86751038,78.79,24.18296784,17,0.024294365,62.55019006,0.877927031,25.767
2012,29.918886,-3.373056,0.70477083,0.388,2333.34,15.75081302,91.47,8.887071651,0,0.024487644,381.4438863,0.864746672,11.194
2012,0.824782,8.619543,0.42181619,2.564,3873.31,18.40233482,72.65,22.6686891,32,0.89533603,127.3512594,2.433211646,38.546
2012,-24.013197,16.002082,0.65170676,0.408,1741.81,17.00466052,24.26,10.74937965,0,0.03300647,132.4724566,2.090394475,62.821
2012,-15.310139,13.443182,0.86971377,0.266,1415.01,11.95836884,56.95,28.51146245,0,0.241854121,203.6575099,1.454788235,57.105
2012,-9.696645,9.945587,0.63279816,1.798,7638.05,31.5767628,76.36,26.44066417,34,0.100136291,43.90644636,1.597750342,34.255
2012,-15.180413,11.803749,1.0089856,0.151,989.27,13.54244509,87.81,72.81443812,0,0.022772347,58.77371977,1.487044184,40.908
2012,-1.023194,7.946527,0.55145683,13.617,41270.95,27.13653359,46.5,34.79798717,0,0.131673005,118.0397381,1.71225838,52.073
2012,11.609444,-0.803689,0.18420477,338.708,17170.47,58.82460162,75.48,91.68954865,35,0.060834794,7.128129002,1.177312793,86.634
2012,29.154857,-19.015438,0.56160401,11.902,17114.85,25.33061187,77.64,46.04663306,0,0.059300374,34.29063203,3.183203183,32.834
2012,12.354722,7.369722,0.68973458,5.684,30155.06,26.62487218,78.57,43.97723763,725,0.064823283,44.49384189,1.306655334,52.769
2012,43.872219,-11.875001,1.1894302,0.124,1015.84,11.22256957,67.5,19.57227297,0,0.0147159,367.8414831,0.647864073,28.123
2012,-5.686805,7.537384,0.68318403,8.97,36302.31,17.73245519,74.9,11.76040252,459,0.026071702,69.21607547,1.190183903,48.172
2012,37.906193,-0.023559,0.61397716,13.249,56396.71,19.26155256,78.25,6.28802755,143,0.05037801,76.82785606,1.221170437,24.376
2012,28.233608,-29.609988,0.70231426,0.43,2477.7,30.81793936,40.53,1.137022398,0,0.040291803,67.6784585,1.676017072,25.704
2012,17.228331,26.3351,0.65171193,49.683,92538,73.73692992,2.66,0.123327688,0,0.094667736,3.336025325,2.329673648,78.512
2012,29.873888,-1.940278,1.0739812,0.864,7650.67,18.21108267,88.78,10.82286178,0,0.021118673,439.4136198,0.534002682,16.943
2012,46.869107,-18.766947,0.69574072,2.887,11578.97,17.06980732,83.31,21.54632474,5,0.056725685,39.47479782,1.165660417,33.227
2012,-3.996166,17.570692,0.6237176,3.884,12442.04,19.86719896,78.73,10.89666363,58,0.049985453,13.53452085,1.102213785,37.599
2012,-7.09262,31.791702,0.43049904,57.631,98266.31,26.40736141,10.93,12.72376877,211,0.037559526,74.73038091,2.120989483,59.142
2012,18.49041,-22.95764,0.61108466,3.395,13042.01,29.98075467,31.87,8.753870447,0,0.05214986,2.632693219,1.522085706,43.693
2012,22.937506,-30.559482,1.041401,378.452,434400.55,24.46860024,8.49,14.29513886,1696,0.138108211,43.80963737,3.275095761,63.272
2012,8.081666,17.607789,0.6676051,2.156,9426.91,26.53723973,72.71,0.930812347,64,0.020754945,14.17415884,0.975239394,16.212
2012,-11.779889,8.460555,0.81816095,0.759,3801.86,14.53437575,79.06,37.30545858,0,0.197842109,94.05080355,1.090508409,39.642
2012,-14.452362,14.497401,0.52246882,8.164,17660.87,23.11179753,49.6,43.56806731,181,0.047864516,68.72608425,1.56671455,44.603
2012,30.217636,12.862807,0.74425879,16.17,63195.5,17.61752668,63.74,10.56352998,0,0.059068874,18.82215846,1.294177117,33.346
2012,34.888822,-6.369028,0.50345406,11.031,39650.53,25.39949872,86.64,55.54979228,3.75,0.062269508,53.9468695,1.179127997,29.493
2012,9.537499,33.886917,0.46377723,27.081,47311.16,30.12153682,13,4.444451596,191,0.033161225,71.92574022,1.967947732,67.218
2012,32.290275,1.373333,1.0171429,3.61,27305.92,25.16227997,92.95,13.30498703,0,0.019703603,170.9220776,0.725096719,20.424
2012,27.849332,-13.133897,0.69220615,4.141,25503.06,32.01065039,84.63,62.30866705,8,0.132892798,19.83435074,1.801950041,40.354
2012,18.732207,15.454166,1.0101379,1.78,12367.36,12.93363239,76.08,4.188373571,19,0.031818189,10.12937262,0.312052823,22.142
2012,20.939444,6.611111,0.7493773,0.434,2510.13,27.52307537,93.07,36.18575235,42.25,0.02641417,7.662053356,0.537232494,39.388
2012,20.168331,41.153332,0.45327754,4.721,12319.83,22.91855334,39.91,28.64660584,0,0.03953139,105.8540511,2.500842788,54.33
2012,25.013607,58.595272,0.34223266,13.392,23019.15,25.26639698,24.96,55.90979004,297,0.059485906,31.20301958,3.192244718,67.974
2012,14.550072,47.516231,1.0030824,67.804,409401.82,25.63396853,34.37,46.9025206,12484,0.016521451,102.1569438,1.012511791,57.147
2012,27.953389,53.709807,0.36074899,62.848,65685.1,36.28285989,7.24,42.54037723,2813,0.024099027,46.5593029,4.952379154,75.697
2012,25.48583,42.733883,0.48046668,46.194,54300.86,25.38281963,15.63,34.7770818,372,0.034869816,67.2981577,3.934715767,72.975
2012,21.745275,41.608635,0.2829032,8.982,9745.25,21.0808587,18.27,38.62085646,52,0.023450399,81.72260111,3.245388779,57.125
2012,17.679076,43.915886,0.52714145,21.827,17221.19,21.62320082,15.28,41.51945313,9,0.004065515,71.76511719,4.187200768,46.199
2012,19.145136,51.919438,0.52200055,304.224,498523.57,29.48125033,10.91,30.58389393,6056,0.028851916,124.3000588,2.285230365,60.654
2012,105.318756,61.52401,1.0282493,1608.566,2208295.77,29.10286807,3.24,49.76857873,34861,0.039945279,8.744144699,3.680860513,73.791
2012,19.37439,42.708678,0.37428304,2.306,4087.73,14.89050526,45.86,61.48698885,38,0.041043807,46.14133829,3.29498964,64.804
2012,15.472962,49.817492,0.50196298,108.083,208857.72,32.9223275,12.8,34.46567396,1900,0.041798948,136.0971773,2.391284842,73.197
2012,15.2,45.1,0.59849993,17.621,57192.35,21.20730214,29.4,34.32206418,347,0.024030207,76.25541419,1.53158071,55.506
2012,24.603189,56.879635,0.50066168,7.579,28169.9,20.6213655,40.37,54.31481511,365,0.049042986,32.69190223,1.631625884,67.897
2012,23.881275,55.169438,0.56250393,12.239,42927.45,28.0159992,23.92,34.73210582,198,0.040065785,47.67165013,1.598059517,66.864
2012,6.129583,49.815273,1.0192033,10.99,59776.38,10.42671879,4.15,34.45382721,2485,0.037117922,206.2358708,0.802205487,89.249
2012,24.96676,45.943161,0.51206212,83.486,170635.81,32.76064462,21.53,28.99480045,1245,0.022133367,87.20126511,2.302918303,53.974
2012,14.375416,35.937496,0.49718305,2.714,9462.24,14.92532514,2.67,1.09375,271,0.330801797,1312.5875,2.910857894,94.211
2012,28.369885,47.411631,0.40043558,4.493,8709.14,21.31451092,22.14,11.54169203,149,0.016369125,99.67327595,5.197780722,42.558
2012,-8.224454,39.399872,0.78151889,48.139,216224.24,19.11347826,25.52,35.76809695,1132,0.018571433,114.8034065,1.22918041,61.763
2012,21.005859,44.016521,0.44679693,46.115,43309.25,27.0061224,19.47,31.04975989,234,0.011873283,82.31279442,4.409660754,55.356
2012,33.429859,35.126413,0.74032338,7.033,24978.51,11.7729348,8.6,18.7,453,0.049555878,125.1683983,1.26528632,67.261
2012,19.699024,48.669026,0.57274581,33.26,94253.18,30.81292113,10.47,39.91528032,369,0.064488636,112.4517343,2.014715472,54.28
2012,14.995463,46.151241,0.54148272,15.589,46577.79,27.39458938,20.22,61.91892066,0,0.039131762,102.1140492,1.755309344,53.108
2012,31.16558,48.379433,0.49365054,284.021,182592.42,24.26605241,2.86,16.55665263,3085,0.056709638,78.70148105,7.902789174,68.782
2012,21.824312,39.074208,1.0510348,80.009,242029.31,14.80477643,14.17,30.27,1107,0.016611488,85.68666408,1.443221773,77.004
2012,19.503304,47.162494,0.58431304,44.972,128857.37,25.0098332,16.47,22.66830885,1684,0.062558067,109.5809345,1.948790124,69.678
2012,12.56738,41.87194,1.4419874,382.368,2086957.66,21.3450699,14.39,30.89313468,28696,0.019991296,201.3395093,0.931440698,68.684
2012,-59.543198,13.193887,0.67032019,0.909,4610.1,14.18730475,3.01,14.65116279,367,0.023113381,642.3186047,1.577627969,31.553
2012,-61.370976,15.414999,0.58109029,21.336,60681.54,28.42025851,16.48,43.16563858,25,0.023723871,207.6357276,1.580346016,75.802
2012,-83.753428,9.748917,0.76538853,7.007,47231.65,22.20487739,38.06,56.8729338,44,0.130674982,92.76523698,1.170654085,73.946
2012,-77.781167,21.521757,0.56910568,28.271,73141,23.36719487,19.38,28.43720991,182,0.023827306,106.042157,1.782721866,76.781
2012,-86.241905,15.199999,0.38770414,10.904,18528.6,26.1135718,49.39,58.36816516,9,0.07057754,78.58045402,2.23374011,53.202
2012,-85.207229,12.865416,0.47367495,4.576,10532.01,24.54736808,53.27,33.86988532,6,0.055320589,50.1130713,2.184771473,57.309
2012,-88.89653,13.794185,0.61651652,6.903,21386.15,26.58935807,30.27,29.91698842,0,0.023281095,297.3595077,1.756387335,67.187
2012,-77.297508,18.109581,0.4594883,7.348,14807.09,17.99386056,12.16,52.26722068,56,0.055161615,254.8307479,2.198851901,54.132
2012,-63.616672,-38.416097,0.77093836,160.574,545982.38,24.42905706,8.61,10.87708144,1084,0.026429769,15.2495427,1.728455962,91.121
2012,-75.015152,-9.189967,0.60590029,48.582,192649,35.53355336,30.8,57.58413438,71,0.071626814,23.24186641,1.332606813,76.804
2012,-63.588653,-16.290154,0.42045129,17.97,27084.5,29.33421963,17.36,48.61302871,25.25,0.024958666,9.756943598,3.059129613,67.315
2012,-78.183406,-1.831239,0.5190033,36.953,87924.54,37.75527457,13.2,52.12025286,0,0.040401906,62.344512,1.978212681,62.988
2012,-55.765835,-32.522779,0.75289633,8.238,51264.39,22.86222892,47.85,10.32327734,52,0.084356529,19.26141584,1.173140069,94.739
2012,-71.542969,-35.675147,0.67654994,88.552,267175.87,30.55830033,30.31,22.96281532,793,0.124360497,23.32350323,1.507421123,87.189
2012,179.414413,-16.578193,0.65359581,0.906,3972.01,16.72296805,33.26,59.47411056,0,0.059462086,49.86639299,1.633423783,53.196
2012,-172.104629,-13.759029,0.73345009,0.15,760.55,19.36324646,40.26,58.48833922,0,0.094364605,70.00848057,1.629818026,19.624
2012,-175.198242,-21.178986,1.159256,0.106,470.71,18.90121411,1.15,12.43055556,0,0.042828918,149.3083333,1.094508084,23.435
2012,166.959158,-15.376706,1.0099284,0.408,747.84,7.874072577,38.98,36.28383921,0,0.181897197,21.10853158,0.881286505,24.661
